Abraham=Abramovič
Andreas=Andreevič
Andreas=Andreevna
Benedikt=Venediktovič
Antoine=Antonovič
Franz=Francevič
Jeremias=Eremeevič
Ludwig=Ljudvigovič
Ludwig=Loginovič
Joachim=Efimovič
Kasimir=Kazimirovič
Henrik=Andreevič
Sebastian=Sevastjanovič
Johann=Ivanovič
Ambroise=Amvrosievič
Ambrosio=Amvrosievič
Alexander=Aleksandrovič
Alexander=Aleksandrovna
Alexander=Alekseevič
Alexander=Alekseevna
Aleksandr=Aleksandrovič
Aleksandr=Aleksandrovna
Alex=Aleksandrovič
Nikolai=Nikolaevič
Paul=Pavlovič
Aleksej=Alekseevič
Anatolij=Anatolievič
Andrej=Andreevič
Andrej=Andreevna
Andreas=Andreevič
Andreas=Andreevna
August=Avgustovič
Christoph=Christoforovič
Christoph=Christoforovna
Edvard=Eduardovič
Georg=Egorovič
Georg=Jurevič
Emanuel=Emanuilovič
Emanuel=Emmanuilovič
Emil=Emilievič
Ernst=Ernestovič
Friedrich=Fedorovič
Friedrich=Fedorovna
Philipp=Filipovič
Franz=Francevič
Franz=Francovič
Gabriel=Gavrilovič
Heinrich=Genrichovič
Heinrich=Andreevič
Hermann=Germanovič
Gottfried=Gotfridovič
Georg=Grigorevič
Georg=Egorovič
Grigorij=Grigorevič
Joseph=Iosifovič
Joseph=Osipovič
Joseph=Osipovna
Isaac=Isaevič
Johann=Ivanovič
Jacques=Jakovlevič
Jakob=Jakovlevič
Jakov=Jakovlevič
Julius=Julievič
Julius=Julievna
Kasimir=Kazimirovič
Martin=Martynovič
Michael=Michajlovič
Michael=Michajlovna
Michail=Michajlovič
Michail=Michajlovna
Michel=Michajlovič
Michel=Michajlovna
Nikolai=Nikolaevič
Nikolai=Nikolaevna
Nikolaj=Nikolaevič
Nikolaj=Nikolaevna
Paul=Pavlovič
Paul=Pavlovna
Peter=Petrovič
Peter=Petrovna
Pieter=Petrovič
Pieter=Petrovna
Wilhelm=Vasilevič
Wilhelm=Vasilevna
Wilhelm=Vilgelmovič
Wilhelm=Vilgelmovna
Benedikt=Venediktovič
Woldemar=Vladimirovič
Woldemar=Vladimirovna
Philipp=Filipovič
Alexis=Alekseevič
Alexis=Alekseevna
Aleksej=Alekseevič
Aleksej=Alekseevna
David=Davydovič
Philipp=Filippovič
Thomas=Fomič
Thomas=Tomasovič
Theodor=Teodorovič
Franz=Francevič
Jean=Ivanovič
Jakob=Jakovlevič
Magnus=Maksimovič
Otto=Ottovič
Robert=Romanovič
Robert=Romanovna
Andrej=Andreevič
Andrej=Andreevna
Friedrich=Fedorovič
Friedrich=Fedorovna
Gabriel=Gavrilovič
