Abramov.=Abramovič
Adamov.=Adamovič
Adal'bertov.=Adalbertovič
Adalbertov.=Adalbertovič
Adol'fov.=Adolfovič
Adol'fovič=Adolfovič
Adol'fovna=Adolfovna
Al'bertov.=Albertovič
Al'bertovič=Albertovič
Al'fonsov.=Alfonsovič
Albertov.=Albertovič
Albertovi=Albertovič
Aleksandrov.=Aleksandrovič
Fedorovi=Fedorovič
Filippov.=Filipovič
Francov.=Francovič
Gotfridov.=Gotfridovič
Michajlov.=Michajlovič
Rudol'fovič=Rudolfovič
Vil'gel'movič=Vilgelmovič
Al'bertovna=Albertovna
Vil'gel'movna=Vilgelmovna
Alekseev.=Alekseevič
Adol'fovič=Adolfovič
Alfonsov.=Alfonsovič
Amvrosiev.=Amvrosievič
Andreev=Andreevič
Andreev.=Andreevič
Andreevi=Andreevič
Davidov.=Davidovič
Jakovl=Jakovlevič
Jakovl.=Jakovlevič
Jakovlev.=Jakovlevič
Karlov.=Karlovič
Loginov.=Loginovič
Petr.=Petrovič
Rodion.=Rodionovič
Rudol'fov.=Rudolfovič
Vene diktov.=Venediktovič
Venediktov.=Venediktovič
