Åbo=Finnland, Åbo-Björneborg
Ačinsk=Enissejsk
Achalcych=Tiflis
Achalkalaki=Tiflis
Achtyrka=Char'kov
Akkerman=Bessarabien
Akmolinsk=(Gouv.-Stadt)
Alapaevsk=Perm'
Alatyr=Simbirsk
Aleksandrija=Cherson
Aleksandropol (Gumry), Festung=Erevan (Armenien)
Aleksandrov=Vladimir
Aleksandrovsk=Ekaterinoslav
Aleksandrovsk=Pskov
Aleksin=Tula
Aleški (Kr. Dnepr)=Taurien
Ananev=Cherson
Anapa=Schwarzmeer-Geb.
Andreev=Kelce ?
Archangel'sk (mit Solombaly)=(Gouv.-Stadt)
Ardatov=Nižnij-Novgorod
Arensburg (Oesel)=Livland
Arsk=Kazan'
Artvin=Kutais (Georgien)
Arzamas ?=Nižnij-Novgorod
Ašchabad=Transkaspien (Turkestan)
Astrachan'=(Gouv.-Stadt)
Atkarsk=Saratov
Aulie-Ata ?=Syr-Darja-Gebiet
Avgustovo=Suvalki
Azov=Ekaterinoslav
Babinoviči=Mogilev
Bachčisaraj=Taurien
Bachmut=Ekaterinoslav
Baku=(Gouv.-Stadt; Aserbaidžan)
Balachna=Nižnij-Novgorod
Balagansk=Irkutsk
Balaklava (Hafen)=Taurien
Balašov=Saratov
Balta=Podolien
Baltisch-Port (Hafen)=Estland
Bar=Podolien
Barguzin=Transbaikalien
Barnaul=Tomsk
Batalpašinsk=Kuban-Gebiet
Batum=(Gebietsstadt, Georgien)
Bauske=Kurland
Bela ?=Sedlec
Belcy (Kr. Jasy)=Bessarabien
Belebej=Ufa
Belgoraj ?=Ljublin
Belgorod=Kursk
Belopole=Char'kov'
Belostok=Grodno
Belovodsk=Char'kov'
Belozersk=Novgorod
Belsk=Grodno
Belyj=Smolensk
Bendery (Festung)=Bessarabien
Bendin=Piotrkov ?
Berdičev=Kiev
Berdjansk ?=Taurien
Berezna=Černigov
Berezov=Tobol'sk
Berislav=Cherson
Bežeck=Tver'
Bijsk=Tomsk
Birjuč=Voronež
Birsk=Ufa
Björneborg=Finnland, Åbo-Björnebrog
Blagoveščensk=(Gebietsstadt, Amur-Gebiet)
Blaški=Kališ ?
Blone (Blonje?)=Warschau
Bobrinec=Cherson
Bobrov=Voronež
Bobrujsk (Festung)=Minsk
Bogatyj=Kursk
Bogoduchov=Char'kov'
Bogorodick=Tula
Bogorodsk=Moskau
Bogučar=Voronež
Bolchov=Orel
Bol'šija-Soli=Kostroma
Borgo=Finnland, Nyland
Borisoglebsk=Tambov
Borisov=Minsk
Boroviči=Novgorod
Borovsk=Kaluga
Borzna ?=Černigov
Braclav=Podolien
Brahestadt=Finnland, Uleaborg
Brest=Warschau
Brest-Litovsk=Grodno
Breziny=Piotrkow ?
Brjansk=Grodno
Brjansk=Orel
Bronnicy=Moskau
Bugulma=Samara
Buguruslan=Samara
Buinsk=Simbirsk
Buj=Kostroma
Buzuluk=Samara
Chabarovka=Küstg. v. Ostsibirien
Char'kov'=(Gouv.-Stadt)
Chasav-Jurt=Terek-Gebiet
Chenciny=Kelce ?
Cherson (Hafen)=(Gouv.-Stadt)
Chmel'nik=Kelce ?
Chmel'nik=Podolien
Chodžent=Syr-Darja-Gebiet
Cholm=Ljublin
Cholm=Pskov
Cholmogory=Archangel'sk
Chorol=Poltava
Chotin (Festung)=Bessarabien
Chotomyšsk=Kursk
Christinenstadt=Finnland, Wasa
Chvalynsk=Saratov
Dalmatov=Perm'
Danilov=Jaroslav
Dankov=Rjazan'
Dedjuchin (Bergw.)=Perm'
Demjansk=Novgorod
Derbent (Hafen)=Daghestan
Disna=Wilna
Dmitriev an der Svapja=Kursk
Dmitrov=Moskau
Dmitrovsk=Orel
Dobržin=Plock
Dokšicy=Minsk
Dombrova=Grodno
Dorogobuž=Smolensk
Dorpat=Livland
Drisa=Vitebsk
Drogičin=Grodno
Druja=Wilna
Dubbeln=Kurland
Dubenka=Ljublin
Dubno=Wolhynien
Dubosary=Cherson
Dubovk. ?=Saratov
Duchovščina=Smolensk
Dünaburg (Daugavpils, Stadt und Festung)=Vitebsk
Dušet=Tiflis (Georgien)
Džizak=Syr-Darja-Gebiet
Dzjalošicy=Kelce ?
Eckerö=Finnland, Åbo-Björneborg
Efremov=Tula
Egor'evsk=Rjazan'
Ejsk ?=Kuban-Gebiet
Ekaterinburg=Perm'
Ekaterinodar=Kuban-Gebiet
Ekaterinoslav=(Gouv.-Stadt)
Ekenäs=Finnland, Nyland
Elabuga=Vjatka
Elatma=Tambov
Elec=Orel
Elisavetgrad=Cherson
Elisavetpol'=(Gouv.-Stadt)
Elna=Smolensk
Enisejsk?=Enisejsk
Enotaevsk=Astrachan'
Epifan=Tula
Erevan=(Gouv.-Stadt)
Evpatorija (Eupatoria)=Taurien
Fatež=Kursk
Fellin=Livland
Feodosija=Taurien
Fredrikshamn=Finnland, Vyborg
Friedrichstadt (Kr. Selburg)=Kurland
Gačina=St. Petersburg
Gadjač=Poltava
Gajsin ?=Podolien
Galič=Kostroma
Gamla-Karleby=Finnland, Wasa
Garvolin=Sedlec
Gavrilevsk=Vladimir
Gdov=St. Petersburg
Georgievsk=Terek-Gebiet
Gižiga=Ostsib. Küstengeb.
Glazov=Vjatka
Glinsk=Poltava
Gluchov=Černigov
Goldingen=Kurland
Gomdin=Warschau
Gomel' (mit d. Vorstadt Belisa)=Mogilev
Gonionds ?=Grodno
Gora Kalwaria=Warschau
Gorbatov=Nižnij-Novgorod
Gori=Tiflis
Gori-Gorki=Mogilev
Gorochovec=Vladimir
Gorodišče=Penza
Gorodnja=Černigov
Gorodok=Vitebsk
Gostynin=Warschau
Gradižsk=Poltava
Graevo=Lomža
Grajvoron=Kursk
Grigoriopol'=Cherson
Grjazovec=Vologda
Grobin=Kurland
Grodisk=Warschau
Grodno=(Gouv.-Stadt)
Grojec=Warschau
Groznyj=Terek-Gebiet
Grubešov=Ljublin
Gurev=Ural-Gebiet
Gžatsk=Smolensk
Hangö (Festung)=Finnland, Nyland
Hapsal (Kr. Wiek, Hafen)=Estland
Hasenpoth=Kurland
Heinola=Finnland, St. Michel
Helsingfors (=Helsinki)=Finnland, Nyland
Homel' (mit d. Vorstadt Belisa)=Mogilev
Igumen=Minsk
Ileckij-Gorodok=Orenburg
Ilimsk=Irkutsk
Ilža=Radom
Insar=Penza
