a.e.=außeretatmäßig
ae=außeretatmäßig                    
A.K.=Armeekorps
AK=Armee Korps 
a.o.=außerordentlich
A.O.=Akcionernoe ObçŸestvo  
Akc. obçŸ.=Akcionernoe ObçŸestvo                   
a.v.=Anciennität vor                   
Abt.=Abteilung                                                
Adjut.=Adjutant                               
adl.=adlig                        
ält.=älterer                                                                                       
Akad.=Akademie                              
Al. Nev.=Aleksandr Nevskij                       
Al. Nev. l.=Aleksandr Nevskij Lavra                        
Al. Nev. l., Laz. kl.=Aleksandr-Nevskij-Lavra, Lazarevskoe kladbiçŸe                          
Al. Nev. l., Nik. kl.=Aleksandr-Nevskij-Lavra, Nikolaevskoe kladbiçŸe                                                                       
Anc. v.=Anciennität vom                               
AO=Akcionernoe ObçŸestvo                                        
Art.=Artillerie                        
Art. Kondukteur=Artillerie Kondukteur                                               
att.=attachiert                        
Ausl.=Ausländer                                           
ausl. Gast=ausländischer Gast                                             
ausw. Ang.=auswärtige Angelegenheiten                        
bacc.=Baccalaureus                        
balt.=baltisch                                                                     
Batl.=Bataillon                        
Batt.=Batterie                        
bayer.=bayerisch                        
beloruss.=belorussisch                        
Bez.=Bezirk                        
Bgr.=Bürger                        
Blaue G.=Blaue Garde               
BM=Bürgermeister                                                      
Brig.=Brigade                        
brit.=britisch                        
bulg.=bulgarisch                        
C. S.=Carskoe Selo                        
cand.=Kandidat                                              
chargé des aff.=chargé des affaires                                                                                                                 
dän.=dänisch                                                                                                
dep.=depositus
dp.=depositus               
Dept.=Departement  
Dep.=Departement               
des.=desjatina                                               
Dir.=Direktor                        
Dirig.=Dirigierender                                               
Div.=Division                                                
Drag.=Dragoner                                                
EB=Ehrenbürger                                                
Edelm.=Edelmann                        
EEB=erblicher Ehrenbürger                                                
Ehrenm.=Ehrenmitglied                                                
Eisenb. Gend.=Eisenbahn Gendarmerie
Eisenb.-Gend.=Eisenbahn-Gendarmerie                                          
engl.=englisch                                                
Equip.=Equipage                        
erm.=ermordet
estl.=estländisch                        
et.=etatmäßig 
e.=etatmäßig                                       
Exp.=Expedition 
Exped.=Expedition                 
f. bes. Auftr.=f. besondere Aufträge                        
Fähnr.=Fähnrich                                                
Fdh.=Friedhof                        
Fin.=Finanzen                                                                                                
franz.=französisch                        
franz. ref.=französisch-reformiert
Freg.=Fregatte                                                                        
Frhr.=Freiherr                        
Fst.=Fürst 
F.=Fürst             
Fstn.=Fürstin                        
G.=Gouvernement                 
G. Abitur=Gymnasial Abitur  
G.-Abitur=Gymnasal-Abitur                                                
Garn.=Garnison                       
Geb.=Gebiet                    
Gefr.=Gefreiter
Geh.=Gehilfe      
gel. Förster=gelehrter Förster                        
gel. Meister=gelehrter Meister                        
Gem. d. R.K.=Gemeinschaft des Roten Kreuzes                        
gen.=genannt                        
Gen.=General                        
Gen. Hospital=General-Landhospital Petersburg                         
Gend.=Gendarmen                        
GenLtnt=Generalleutnant                        
GenMajor=Generalmajor
GM=Generalmajor                                                                                 
gesch.=geschäftsführend                        
gew.=gewesener                       
Gf.=Graf                        
Gft.=Grafschaft
GM=Generalmajor                                                                        
Gouv.Sekr.=Gouvernementssekretär                        
GR=Geheimrat  
Geh.Rat=Geheimrat            
Gr.=Grad                        
gramm. comp.=grammatica comparativa                        
Gren.=Grenadier                        
Grfst.=Großfürst                        
griech.=griechisch                        
Gs.=Gesellschaft                        
Gymn.=Gymnasium                        
H.=Handels-Abteilung   
herv.=hervormde                        
Hofr.=Hofrat                        
holst.=holsteinisch                        
Hosp.=Hospital                        
Hus.=Husaren                        
I I. M M=Ihrer Majestäten                                                
i. d.=ispolnjajuçŸij dol§nost'  
I. M.=Ihrer Majestät                                                
ICS=Imperatorskij Carskosel'skij licej                          
Imeret. Inf.Rgt.=Imeretinskago Inf.Rgt.                                      
Inf.=Infanterie                        
Inf.-Rgt.=Infanterie-Regiment                        
Inh.=Inhaber                        
Inn.=Innere(r/s)                        
Insp.=Inspektor                        
Inst.=Institut                        
int.=interimistischer    
interim.=interimistischer    
Intend.Verw.=Intendanturverwaltung                                                
ital.=italienisch                        
J.=Jahr(e)                        
Janss=Jansson                        
jüng.=jüngerer                        
Just.=Justiz                        
k.=kaiserlich                    
k.A.=keine Angabe
KadKorps=Kadettenkorps
KK=Kadettenkorps           
Kall.=Kalligraphie                        
Karab.=Karabinier                        
Kath.=Katharinenkirche     
kath.=katholisch                        
Kaufm.=Kaufmann 
Kfm.=Kaufmann          
kauk.=kaukasisch
kaukas.=kaukasisch      
Kav.=Kavallerie                        
Kb.=Kirchenbuch                        
